FID,Id,X,Y,DEM,WaterSys_Dis,Faults_Dis
248,0,12177511.158299999311566,4349260.422709999606013,1311.782608695652243,8764.735986328125364,114182.739843749994179
249,0,12177665.909099999815226,4349262.552969999611378,1315.500000000000000,8797.788916015624636,114112.389062500005821
250,0,12177820.660099999979138,4349264.681389999575913,1311.299999999999955,8836.989501953125000,114042.193359375000000
251,0,12177975.411199999973178,4349266.807970000430942,1311.250000000000000,8878.996435546874636,113972.151953124994179
252,0,12178130.162499999627471,4349268.932699999772012,1314.200000000000045,8919.701367187499272,113886.332031250000000
253,0,12178284.914000000804663,4349271.055599999614060,1318.700000000000045,8962.732177734375000,113799.000325520828483
254,0,12178439.665500000119209,4349273.176649999804795,1318.583333333333258,9008.055371093749272,113722.470312499994179
255,0,12178594.417300000786781,4349275.295859999954700,1318.799999999999955,9052.744652157738528,113653.063281249997090
256,0,12178749.169099999591708,4349277.413230000063777,1318.650000000000091,9080.003609035326008,113583.811718750002910
257,0,12178903.921199999749660,4349279.528760000132024,1315.849999999999909,9130.207356770833940,113514.716015625002910
258,0,12179058.673299999907613,4349281.642439999617636,1317.950000000000045,9185.496240234375364,113445.776953124994179
259,0,12179213.425599999725819,4349283.754289999604225,1317.500000000000000,9239.471484375000728,113373.359714673919370
260,0,12179368.178099999204278,4349285.864289999939501,1315.000000000000000,9295.554052734374636,113294.715029761908227
261,0,12179522.930700000375509,4349287.972450000233948,1313.761904761904816,9353.706201171875364,113226.224218749994179
262,0,12179677.683399999514222,4349290.078769999556243,1316.599999999999909,9417.599888392856883,113157.943750000005821
263,0,12139134.501199999824166,4348795.200950000435114,1297.250000000000000,2976.817016601562500,124700.352539062500000
264,0,12139289.213800000026822,4348797.787849999964237,1296.291666666666742,3040.214297340029589,124663.343750000000000
265,0,12139443.926599999889731,4348800.372919999994338,1296.950000000000045,3120.286083984375182,124629.526562500002910
266,0,12139598.639599999412894,4348802.956140000373125,1298.750000000000000,3219.219537908380516,124595.816015624994179
267,0,12139753.352800000458956,4348805.537530000321567,1293.849999999999909,3320.131170099431984,124562.149609375002910
268,0,12139908.066099999472499,4348808.117069999687374,1293.150000000000091,3428.135144042968932,124528.328125000000000
